    dgrf1990
 10 6371.2 1990
1 0 -29775.0 0.0
1 1 -1848.0 5406.0
2 0 -2131.0 0.0
2 1 3059.0 -2279.0
2 2 1686.0 -373.0
3 0 1314.0 0.0
3 1 -2239.0 -284.0
3 2 1248.0 293.0
3 3 802.0 -352.0
4 0 939.0 0.0
4 1 780.0 247.0
4 2 325.0 -240.0
4 3 -423.0 84.0
4 4 141.0 -299.0
5 0 -214.0 0.0
5 1 353.0 46.0
5 2 245.0 154.0
5 3 -109.0 -153.0
5 4 -165.0 -69.0
5 5 -36.0 97.0
6 0 61.0 0.0
6 1 65.0 -16.0
6 2 59.0 82.0
6 3 -178.0 69.0
6 4 3.0 -52.0
6 5 18.0 1.0
6 6 -96.0 24.0
7 0 77.0 0.0
7 1 -64.0 -80.0
7 2 2.0 -26.0
7 3 26.0 0.0
7 4 -1.0 21.0
7 5 5.0 17.0
7 6 9.0 -23.0
7 7 0.0 -4.0
8 0 23.0 0.0
8 1 5.0 10.0
8 2 -1.0 -19.0
8 3 -10.0 6.0
8 4 -12.0 -22.0
8 5 3.0 12.0
8 6 4.0 12.0
8 7 2.0 -16.0
8 8 -6.0 -10.0
9 0 4.0 0.0
9 1 9.0 -20.0
9 2 1.0 15.0
9 3 -12.0 11.0
9 4 9.0 -7.0
9 5 -4.0 -7.0
9 6 -2.0 9.0
9 7 7.0 8.0
9 8 1.0 -7.0
9 9 -6.0 2.0
10 0 -3.0 0.0
10 1 -4.0 2.0
10 2 2.0 1.0
10 3 -5.0 3.0
10 4 -2.0 6.0
10 5 4.0 -4.0
10 6 3.0 0.0
10 7 1.0 -2.0
10 8 3.0 3.0
10 9 3.0 -1.0
10 10 0.0 -6.0
