    igrf1940
 10 6371.2 1940
1 0 -30654.0 0.0
1 1 -2292.0 5821.0
2 0 -1106.0 0.0
2 1 2981.0 -1614.0
2 2 1566.0 528.0
3 0 1240.0 0.0
3 1 -1790.0 -499.0
3 2 1232.0 163.0
3 3 916.0 43.0
4 0 914.0 0.0
4 1 762.0 169.0
4 2 550.0 -252.0
4 3 -405.0 -72.0
4 4 265.0 -141.0
5 0 -241.0 0.0
5 1 334.0 -33.0
5 2 208.0 71.0
5 3 -33.0 -75.0
5 4 -141.0 -113.0
5 5 -76.0 69.0
6 0 57.0 0.0
6 1 54.0 4.0
6 2 -7.0 105.0
6 3 -249.0 33.0
6 4 -18.0 -15.0
6 5 18.0 0.0
6 6 -107.0 -33.0
7 0 74.0 0.0
7 1 -53.0 -52.0
7 2 4.0 -18.0
7 3 20.0 -14.0
7 4 -31.0 7.0
7 5 -9.0 29.0
7 6 17.0 -20.0
7 7 5.0 -19.0
8 0 11.0 0.0
8 1 7.0 8.0
8 2 -3.0 -14.0
8 3 -10.0 5.0
8 4 1.0 -15.0
8 5 6.0 5.0
8 6 -5.0 19.0
8 7 9.0 -5.0
8 8 7.0 -19.0
9 0 8.0 0.0
9 1 10.0 -21.0
9 2 1.0 15.0
9 3 -12.0 5.0
9 4 11.0 -3.0
9 5 1.0 -3.0
9 6 -2.0 9.0
9 7 3.0 11.0
9 8 1.0 -2.0
9 9 -2.0 2.0
10 0 -3.0 0.0
10 1 -4.0 2.0
10 2 2.0 1.0
10 3 -5.0 2.0
10 4 -2.0 6.0
10 5 6.0 -4.0
10 6 4.0 0.0
10 7 0.0 -1.0
10 8 2.0 4.0
10 9 3.0 0.0
10 10 0.0 -6.0
