    igrf2020s
 8 6371.2 2020s
1 0 5.7 0.0
1 1 7.4 -25.9
2 0 -11.0 0.0
2 1 -7.0 -30.2
2 2 -2.1 -22.4
3 0 2.2 0.0
3 1 -5.9 6.0
3 2 3.1 -1.1
3 3 -12.0 0.5
4 0 -1.2 0.0
4 1 -1.6 -0.1
4 2 -5.9 6.5
4 3 5.2 3.6
4 4 -5.1 -5.0
5 0 -0.3 0.0
5 1 0.5 0.0
5 2 -0.6 2.5
5 3 0.2 -0.6
5 4 1.3 3.0
5 5 0.9 0.3
6 0 -0.5 0.0
6 1 -0.3 0.0
6 2 0.4 -1.6
6 3 1.3 -1.3
6 4 -1.4 0.8
6 5 0.0 0.0
6 6 0.9 1.0
7 0 -0.1 0.0
7 1 -0.2 0.6
7 2 0.0 0.6
7 3 0.7 -0.8
7 4 0.1 -0.2
7 5 -0.5 -1.1
7 6 -0.8 0.1
7 7 0.8 0.3
8 0 0.0 0.0
8 1 0.1 -0.2
8 2 -0.1 0.6
8 3 0.4 -0.2
8 4 -0.1 0.5
8 5 0.4 -0.3
8 6 0.3 -0.4
8 7 -0.1 0.5
8 8 0.4 0.0
